Date,Open,High,Low,Close,Adj Close,Volume
2012-12-11,189.050003,190.350006,185.050003,187.899994,82.270584,1753957
2012-12-12,188.899994,189.899994,186.199997,187.649994,82.161140,1048097
2012-12-13,188.100006,189.449997,180.000000,181.050003,79.271393,1288223
2012-12-14,181.100006,189.100006,180.250000,187.750000,82.204918,1743288
2012-12-17,185.000000,193.500000,185.000000,193.000000,84.503593,2087403
2012-12-18,193.600006,197.899994,192.949997,195.000000,85.379288,2845125
2012-12-19,196.500000,199.899994,196.000000,198.050003,86.714706,1732498
2012-12-20,197.500000,201.600006,193.000000,199.300003,87.262016,2185693
2012-12-21,198.050003,201.500000,193.050003,194.699997,85.247925,2223547
2012-12-24,194.699997,196.750000,191.449997,192.350006,84.219009,1320668
2012-12-26,193.250000,196.800003,193.000000,193.949997,84.919556,1094816
2012-12-27,195.000000,196.600006,190.850006,192.399994,84.240898,2347193
2012-12-28,192.250000,195.500000,192.250000,194.949997,85.357399,1128649
2012-12-31,194.149994,197.100006,194.149994,195.449997,85.576309,779583
2013-01-01,197.000000,199.699997,196.199997,198.600006,86.955536,1129965
2013-01-02,200.000000,204.800003,200.000000,202.899994,88.838234,2398429
2013-01-03,203.550003,205.449997,202.050003,204.399994,89.494995,1631481
2013-01-04,203.800003,203.800003,199.100006,201.699997,88.312820,1375959
2013-01-07,202.199997,205.000000,199.699997,202.649994,88.728790,1822139
2013-01-08,202.649994,202.949997,197.649994,199.699997,87.437149,1443315
2013-01-09,201.399994,201.899994,195.750000,196.850006,86.189285,994335
2013-01-10,198.250000,198.899994,192.300003,193.300003,84.634956,1757486
2013-01-11,194.350006,197.500000,192.649994,194.399994,85.116570,1850923
2013-01-14,194.250000,197.550003,193.050003,196.850006,86.189285,937291
2013-01-15,195.649994,197.350006,192.800003,194.000000,84.941452,1137138
2013-01-16,193.199997,196.449997,189.800003,190.600006,83.452774,2839979
2013-01-17,189.100006,192.000000,187.149994,189.649994,83.036812,2703738
2013-01-18,190.350006,191.949997,185.699997,187.149994,81.942230,1252021
2013-01-21,187.250000,189.550003,185.949997,186.850006,81.810852,1034247
2013-01-22,187.250000,188.500000,184.250000,185.050003,81.022736,870649
2013-01-23,185.149994,186.699997,182.100006,184.649994,80.847603,834312
2013-01-24,183.000000,183.850006,177.000000,178.199997,78.023552,1712994
2013-01-25,175.000000,184.350006,173.699997,183.199997,80.212761,2546741
2013-01-28,183.300003,185.899994,181.350006,183.050003,80.147057,1614215
2013-01-29,181.750000,187.000000,181.750000,183.350006,80.278435,1295927
2013-01-30,182.850006,188.649994,182.850006,186.800003,81.788956,1382703
2013-01-31,185.250000,188.250000,182.000000,186.550003,81.679527,2183772
2013-02-01,186.850006,189.800003,182.899994,183.649994,80.409760,1052248
2013-02-04,184.649994,185.500000,179.500000,180.350006,78.964882,1252865
2013-02-05,178.199997,178.949997,175.899994,177.750000,77.826515,835129
2013-02-06,179.399994,181.750000,177.399994,179.149994,78.439476,1669386
2013-02-07,178.199997,179.000000,172.000000,174.399994,76.359718,1985069
2013-02-08,174.699997,175.300003,168.500000,169.850006,74.367538,1613889
2013-02-11,170.199997,173.449997,168.350006,171.800003,75.221344,823615
2013-02-12,171.199997,172.699997,168.000000,170.649994,74.717804,826731
2013-02-13,171.100006,172.399994,165.199997,165.899994,72.638069,1199277
2013-02-14,165.199997,168.300003,162.300003,163.149994,71.433998,1351156
2013-02-15,162.000000,165.850006,161.649994,165.000000,72.244026,846618
2013-02-18,165.500000,168.300003,163.800003,167.899994,73.513756,964777
2013-02-19,167.000000,171.750000,167.000000,170.899994,74.827286,1173039
2013-02-20,171.250000,172.300003,169.100006,169.949997,74.411316,848185
2013-02-21,168.000000,169.899994,163.000000,163.750000,71.696701,1401890
2013-02-22,163.100006,164.750000,161.600006,162.699997,71.236977,1044164
2013-02-25,163.449997,164.250000,159.250000,161.000000,70.492630,1311723
2013-02-26,159.800003,160.500000,157.600006,158.800003,69.529373,977970
2013-02-27,161.800003,162.000000,157.350006,161.149994,70.558304,1289469
2013-02-28,163.050003,163.899994,153.250000,154.850006,67.799896,3410240
2013-03-01,154.500000,158.000000,152.899994,153.949997,67.405861,859021
2013-03-04,152.000000,154.000000,148.199997,148.850006,65.172859,1378123
2013-03-05,149.600006,157.800003,149.000000,156.750000,68.631813,1512684
2013-03-06,157.250000,163.449997,156.649994,162.050003,70.952377,1858616
2013-03-07,161.000000,165.649994,158.800003,165.050003,72.265907,2127994
2013-03-08,166.000000,168.750000,163.750000,167.149994,73.185364,1978999
2013-03-11,167.250000,170.250000,163.800003,166.449997,72.878891,1722341
2013-03-12,167.000000,167.250000,161.500000,164.000000,71.806168,1542972
2013-03-13,163.000000,166.649994,162.000000,163.850006,71.740494,1696362
2013-03-14,163.300003,166.149994,161.649994,165.149994,72.309685,1109156
2013-03-15,166.000000,169.199997,163.750000,164.600006,72.068878,1107961
2013-03-18,163.000000,163.600006,160.500000,161.899994,70.886703,1341007
2013-03-19,162.100006,163.149994,154.199997,155.250000,67.975044,1113844
2013-03-20,155.500000,157.699997,151.500000,153.600006,67.252586,1173444
2013-03-21,153.550003,158.000000,151.100006,152.199997,66.639618,1081764
2013-03-22,151.350006,155.649994,151.350006,153.949997,67.405861,875441
2013-03-25,155.100006,157.250000,151.149994,151.800003,66.464493,1741227
2013-03-26,152.199997,153.199997,150.000000,151.649994,66.398804,1526252
2013-03-28,151.050003,157.699997,150.100006,155.500000,68.084526,2517065
2013-04-01,155.949997,156.000000,149.550003,151.350006,66.267464,2221064
2013-04-02,151.449997,157.899994,150.399994,156.899994,68.697472,2367750
2013-04-03,156.449997,157.699997,152.050003,152.699997,66.858528,2250757
2013-04-04,152.399994,152.699997,146.000000,147.000000,64.362839,2433357
2013-04-05,147.000000,150.850006,146.050003,149.949997,65.654488,1861200
2013-04-08,150.050003,151.399994,145.149994,145.949997,63.903126,1681719
2013-04-09,147.899994,149.750000,145.000000,146.000000,63.925011,1579527
2013-04-10,147.100006,148.449997,142.850006,147.250000,64.472305,1821787
2013-04-11,148.600006,149.699997,145.649994,147.199997,64.450401,1114774
2013-04-12,146.000000,148.850006,145.600006,147.949997,64.778793,1001162
2013-04-15,146.000000,147.000000,143.000000,143.600006,62.874191,1242136
2013-04-16,142.600006,144.149994,140.300003,143.399994,62.786610,1876411
2013-04-17,144.000000,151.350006,143.899994,149.250000,65.347977,3053361
2013-04-18,151.750000,154.000000,145.649994,151.500000,66.333130,8819544
2013-04-22,152.550003,152.850006,149.050003,152.100006,66.595848,1818475
2013-04-23,152.500000,155.899994,150.250000,151.500000,66.333130,2010978
2013-04-25,152.399994,155.000000,151.100006,154.199997,67.515320,2775860
2013-04-26,154.500000,156.250000,151.750000,152.449997,66.749084,919630
2013-04-29,151.000000,155.800003,150.000000,155.199997,67.953148,1753211
2013-04-30,156.600006,162.899994,154.500000,158.750000,69.507492,2624065
2013-05-02,159.100006,160.699997,156.449997,158.050003,69.201004,1613972
2013-05-03,158.399994,163.500000,157.100006,160.899994,70.448837,1629718
2013-05-06,162.100006,165.500000,161.850006,164.250000,71.915619,1324197
2013-05-07,165.800003,165.800003,162.199997,164.050003,71.828056,1633840
2013-05-08,164.949997,166.199997,163.800003,164.699997,72.112648,1127744
2013-05-09,164.100006,165.750000,161.899994,162.449997,71.127502,978489
2013-05-10,162.500000,163.750000,160.699997,162.750000,71.258873,760385
2013-05-13,163.250000,165.399994,158.500000,159.149994,69.682625,865558
2013-05-14,159.899994,161.699997,158.300003,160.649994,70.339378,1059395
2013-05-15,159.300003,164.500000,159.300003,163.949997,71.784271,1120115
2013-05-16,163.050003,169.000000,162.399994,168.050003,73.579430,1811277
2013-05-17,168.899994,169.000000,164.500000,166.100006,72.725632,1438860
2013-05-20,165.250000,168.500000,164.850006,165.350006,72.397255,579849
2013-05-21,166.149994,166.800003,160.649994,162.350006,71.083725,744624
2013-05-22,163.250000,163.800003,159.600006,161.100006,70.536423,557957
2013-05-23,158.000000,159.500000,155.899994,156.649994,68.588020,665701
2013-05-24,156.500000,161.100006,154.699997,160.149994,70.120468,810549
2013-05-27,160.100006,164.850006,157.850006,163.899994,71.762375,698571
2013-05-28,163.500000,164.000000,160.550003,161.750000,70.821030,794798
2013-05-29,161.399994,162.600006,157.800003,158.699997,69.485603,717218
2013-05-30,157.000000,159.550003,156.449997,157.649994,69.025864,2037748
2013-05-31,157.250000,166.850006,157.199997,163.899994,71.807930,4928117
2013-06-03,162.949997,163.850006,160.199997,160.949997,70.515465,1284583
2013-06-04,161.500000,162.949997,156.899994,157.600006,69.047768,894136
2013-06-05,157.050003,159.100006,156.000000,158.250000,69.332550,544624
2013-06-06,156.000000,159.199997,156.000000,156.699997,68.653465,717456
2013-06-07,156.000000,158.350006,154.250000,154.500000,67.689598,792327
2013-06-10,155.100006,155.649994,149.600006,151.850006,66.528587,1107008
2013-06-11,150.250000,151.649994,146.050003,147.199997,64.491310,994497
2013-06-12,146.500000,148.899994,143.600006,144.350006,63.242672,886890
2013-06-13,142.800003,143.899994,138.750000,139.649994,61.183517,1554528
2013-06-14,140.750000,143.399994,140.750000,142.100006,62.256912,1452454
2013-06-17,143.000000,143.250000,138.600006,140.250000,61.446384,1020586
2013-06-18,139.250000,143.899994,139.250000,141.899994,62.169281,1324724
2013-06-19,141.000000,146.500000,141.000000,145.949997,63.943684,1584551
2013-06-20,143.000000,143.050003,139.199997,139.850006,61.271137,2335544
2013-06-21,138.250000,141.699997,135.100006,138.399994,60.635860,1436496
2013-06-24,137.100006,140.399994,133.100006,134.300003,58.839573,2244965
2013-06-25,134.000000,137.050003,132.550003,134.250000,58.817657,1552223
2013-06-26,134.199997,136.300003,131.750000,134.399994,58.883381,3106979
2013-06-27,137.100006,140.500000,134.850006,138.399994,60.635860,2149756
2013-06-28,139.199997,145.000000,139.100006,142.800003,62.563580,1835004
2013-07-01,144.699997,149.699997,143.399994,149.050003,65.301849,1279805
2013-07-02,148.000000,154.000000,147.800003,151.000000,66.156174,1819203
2013-07-03,149.000000,149.000000,142.899994,143.949997,63.067406,1249530
